series id,title
MABMBM01BRM657S,"Broad Money, Index for Brazil (DISCONTINUED)"
MABMBM01BRM661S,"Broad Money, Index for Brazil (DISCONTINUED)"
LFUN24TTBRM647S,Unemployed Population: Aged 15-24: Total for Brazil
LFUN24TTBRM647N,Unemployed Population: Aged 15-24: Total for Brazil
BSOBLV02BRM460S,Business Tendency Surveys for Manufacturing: Order Books: Level: European Commission and National Indicators for Brazil
BSEMFT02BRM460S,Business Tendency Surveys for Manufacturing: Employment: Future Tendency: European Commission and National Indicators for Brazil
MABMM402BRM189S,M4 for Brazil (DISCONTINUED)
MABMM402BRM189N,M4 for Brazil (DISCONTINUED)
BRABVDEFT02STSAM,Business tendency surveys (services): Demand evolution: Future tendency: National indicator for Brazil
BRALOCOSPNOSTSAM,Leading Indicators OECD: Component series: Share prices: Normalised for Brazil
BRALOCOBOORSTSAM,Leading Indicators OECD: Component series: BTS - Order books: Original series for Brazil
BRAPRMNTO01GPSAM,Production: Manufacturing: Total manufacturing: Total manufacturing for Brazil
BRAPRMNTO01IXOBM,Production: Manufacturing: Total manufacturing: Total manufacturing for Brazil
BRAPRMNTO01GYSAM,Production: Manufacturing: Total manufacturing: Total manufacturing for Brazil
XFORSD01BRM194N,Reserve Assets for Brazil (DISCONTINUED)
WPIATT01BRM661N,Total Wholesale Prices by Industry Aggregate for Brazil
BRAPRMNVG01IXOBSAM,Production: Manufacturing: Investment goods: Total for Brazil
BRAPRMNVG01IXOBM,Production: Manufacturing: Investment goods: Total for Brazil
BSPRFT02BRM460S,Business Tendency Surveys for Manufacturing: Production: Future Tendency: European Commission and National Indicators for Brazil
BRAPRMNCG03IXOBSAM,Production: Manufacturing: Consumer goods: Non durable goods for Brazil
BRAPRMNCG03IXOBM,Production: Manufacturing: Consumer goods: Non durable goods for Brazil
BRAPRMITO01IXOBSAM,Production: Mining: Total mining: Total for Brazil
BRAPRMITO01IXOBM,Production: Mining: Total mining: Total for Brazil
BRAPRCNTO01GPSAM,Production: Construction: Total construction: Total for Brazil
BRAPRCNTO01IXOBM,Production: Construction: Total construction: Total for Brazil
BRAPRCNTO01GYSAM,Production: Construction: Total construction: Total for Brazil
BSBUCT01BRM460S,Business Tendency Surveys for Manufacturing: Business Situation: Current: National Indicator for Brazil (DISCONTINUED)
BRAPRMNIG01IXOBM,Production: Manufacturing: Intermediate goods: Total for Brazil
BRAPRMNIG01IXOBSAM,Production: Manufacturing: Intermediate goods: Total for Brazil
LRACTTTTBRM156S,Activity Rate: Aged 15 and Over: All Persons for Brazil
LRACTTTTBRM156N,Activity Rate: Aged 15 and Over: All Persons for Brazil
BRAXTIMVA01NCMLM,International Trade: Imports: Value (goods): Total for Brazil
VALIMPBRM052N,"Goods, Value of Imports for Brazil"
LRINTTTTBRM156S,Inactivity Rate: Aged 15 and Over: All Persons for Brazil
LRINTTTTBRM156N,Inactivity Rate: Aged 15 and Over: All Persons for Brazil
LFEM24TTBRM657S,Employed Population: Aged 15-24: All Persons for Brazil
LFEM24TTBRM647N,Employed Population: Aged 15-24: All Persons for Brazil
LFEM24TTBRM647S,Employed Population: Aged 15-24: All Persons for Brazil
LFEM24TTBRM657N,Employed Population: Aged 15-24: All Persons for Brazil
BRALOCOBPNOSTSAM,Leading Indicators OECD: Component series: BTS - Production: Normalised for Brazil
MANMNM01BRM661S,"Narrow Money, Index for Brazil (DISCONTINUED)"
MANMNM01BRM657S,"Narrow Money, Index for Brazil (DISCONTINUED)"
BSCICP02BRM460S,Business Tendency Surveys for Manufacturing: Confidence Indicators: Composite Indicators: European Commission and National Indicators for Brazil
BRABREMFT02STSAM,Business tendency surveys (retail trade): Employment: Future tendency: National indicator for Brazil
LRAC24TTBRM156S,Activity Rate: Aged 15-24: All Persons for Brazil
LRAC24TTBRM156N,Activity Rate: Aged 15-24: All Persons for Brazil
BRALOCOBPORSTSAM,Leading Indicators OECD: Component series: BTS - Production: Original series for Brazil
XTEXVA04BRM667N,Exports: Value Goods to European Union (15 countries) from Brazil
BRASPASTT01GYM,Share Prices: All shares/broad: Total: Total for Brazil
BRABRCICP02STSAM,Business tendency surveys (retail trade): Confidence indicators: Composite indicators: National indicator for Brazil
BRAWPIATT01GYM,Wholesale prices: Industry aggregates: Total: Total for Brazil
BRAWPIATT01GPM,Wholesale prices: Industry aggregates: Total: Total for Brazil
BRAPRMNCG01IXOBSAM,Production: Manufacturing: Consumer goods: Total for Brazil
BRAPRMNCG01IXOBM,Production: Manufacturing: Consumer goods: Total for Brazil
LRIN24TTBRM156S,Inactivity Rate: Aged 15-24: All Persons for Brazil
LRIN24TTBRM156N,Inactivity Rate: Aged 15-24: All Persons for Brazil
BRALOCONTORSTM,Leading Indicators OECD: Component series: Net trade: Original series for Brazil
BRALOCONTNOSTSAM,Leading Indicators OECD: Component series: Net trade: Normalised for Brazil
XTIMVA04BRM667N,Imports: Value Goods from European Union (15 countries) to Brazil
LFIN24TTBRM647N,Inactive Population: Aged 15-24: All Persons for Brazil
LFIN24TTBRM647S,Inactive Population: Aged 15-24: All Persons for Brazil
MAM4A1BRM189N,"M4, Alternate Definition 1 for Brazil"
BSFGLV02BRM460S,Business Tendency Surveys for Manufacturing: Finished Goods Stocks: Level: European Commission and National Indicators for Brazil
BRALOCOSPORIXOBM,Leading Indicators OECD: Component series: Share prices: Original series for Brazil
LFINTTTTBRM647S,Inactive Population: Aged 15 and Over: All Persons for Brazil
LFINTTTTBRM647N,Inactive Population: Aged 15 and Over: All Persons for Brazil
BRABVCICP02STSAM,Business tendency surveys (services): Confidence Indicators: Composite Indicators: National indicator for Brazil
BSBUFT01BRM460S,Business Tendency Surveys for Manufacturing: Business Situation: Future Tendency: National Indicator for Brazil (DISCONTINUED)
XTNTVA02BRM667N,Net Trade: Value Goods with European Union (15 countries) for Brazil
BRALOCOBDORSTSAM,Leading Indicators OECD: Component series: BTS - Demand or orders inflow: Original series for Brazil
BRACP010000GYM,Consumer Price Index: Food and non-Alcoholic beverages (COICOP 01): Total: Total for Brazil
BRALOCOS3NOSTSAM,Leading Indicators OECD: Component series: Services - Demand Expectation: Normalised for Brazil
BRABSBUCT02STSAM,Business tendency surveys (manufacturing): Business situation: Current: National indicator for Brazil
BRABRBUFT02STSAM,Business tendency surveys (retail trade): Business situation - Activity: Future tendency: National indicator for Brazil
BRABVEMFT02STSAM,Business tendency surveys (services): Employment: Future tendency: National indicator for Brazil
BRALOCOS3ORSTSAM,Leading Indicators OECD: Component series: Services - Demand Expectation: Original series for Brazil
BRALOCOBDNOSTSAM,Leading Indicators OECD: Component series: BTS - Demand or orders inflow: Normalised for Brazil
BRABSBUFT02STSAM,Business tendency surveys (manufacturing): Business situation: Future tendency: National indicator for Brazil
BRABRBUTE02STSAM,Business tendency surveys (retail trade): Business situation - Activity: Tendency: National indicator for Brazil
BRABCCICP02STSAM,Business tendency surveys (construction): Confidence indicators: Composite indicators: National indicator for Brazil
BRABVBUTE02STSAM,Business tendency surveys (services): Business situation - Activity: Tendency: National indicator for Brazil
GEPUCURRENT,Global Economic Policy Uncertainty Index: Current Price Adjusted GDP
TWEXBPA,"Real Trade Weighted U.S. Dollar Index: Broad, Goods (DISCONTINUED)"
TWEXOMTH,"Trade Weighted U.S. Dollar Index: Other Important Trading Partners, Goods (DISCONTINUED)"
GEPUPPP,Global Economic Policy Uncertainty Index: PPP-Adjusted GDP
OECDNMERECM,OECD based Recession Indicators for OECD and Non-member Economies from the Peak through the Trough
TWEXOPA,"Real Trade Weighted U.S. Dollar Index: Other Important Trading Partners, Goods (DISCONTINUED)"
M04034US000NYM267NNBR,Wholesale Price of Coffee for New York
OECDNMERECP,OECD based Recession Indicators for OECD and Non-member Economies from the Peak through the Period preceding the Trough
OECDNMEREC,OECD based Recession Indicators for OECD and Non-member Economies from the Period following the Peak through the Trough
